0:0:0:0:0:0:0:1 - - [28/Jun/2021:19:16:31 +0200] "POST /api/authentication/login HTTP/1.1" 200 - "http://localhost:9000/sessions/new?return_to=%2F" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXpTnzkLkdT2jS9QAAAK"
0:0:0:0:0:0:0:1 - - [28/Jun/2021:19:16:31 +0200] "GET / HTTP/1.1" 200 - "http://localhost:9000/sessions/new?return_to=%2F" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXpTnzkLkdT2jS9QAAAL"
0:0:0:0:0:0:0:1 - - [28/Jun/2021:19:16:31 +0200] "GET /api/l10n/index?locale=en-gb&ts=2021-06-28T17%3A16%3A24%2B0000 HTTP/1.1" 304 - "http://localhost:9000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXpTnzkLkdT2jS9QAAAM"
0:0:0:0:0:0:0:1 - - [28/Jun/2021:19:16:31 +0200] "GET /api/users/current HTTP/1.1" 200 354 "http://localhost:9000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXpTnzkLkdT2jS9QAAAN"
0:0:0:0:0:0:0:1 - - [28/Jun/2021:19:16:31 +0200] "GET /api/navigation/global HTTP/1.1" 200 572 "http://localhost:9000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXpTnzkLkdT2jS9QAAAO"
0:0:0:0:0:0:0:1 - - [28/Jun/2021:19:16:31 +0200] "GET /api/languages/list HTTP/1.1" 200 479 "http://localhost:9000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXpTnzkLkdT2jS9QAAAP"
0:0:0:0:0:0:0:1 - - [28/Jun/2021:19:16:31 +0200] "GET /api/rules/app HTTP/1.1" 200 - "http://localhost:9000/projects" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXpTnzkLkdT2jS9QAAAQ"
0:0:0:0:0:0:0:1 - - [28/Jun/2021:19:16:32 +0200] "GET /api/components/search_projects?filter=isFavorite&ps=1 HTTP/1.1" 200 77 "http://localhost:9000/projects" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXpTnzkLkdT2jS9QAAAR"
0:0:0:0:0:0:0:1 - - [28/Jun/2021:19:16:32 +0200] "GET /js/268.m.2e9b0a35.chunk.js HTTP/1.1" 200 - "http://localhost:9000/projects" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXpTnzkLkdT2jS9QAAAS"
0:0:0:0:0:0:0:1 - - [28/Jun/2021:19:16:32 +0200] "GET /api/alm_settings/list? HTTP/1.1" 200 18 "http://localhost:9000/projects" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXpTnzkLkdT2jS9QAAAT"
0:0:0:0:0:0:0:1 - - [28/Jun/2021:19:16:32 +0200] "GET /api/components/search_projects?ps=50&facets=reliability_rating%2Csecurity_rating%2Csecurity_review_rating%2Csqale_rating%2Ccoverage%2Cduplicated_lines_density%2Cncloc%2Calert_status%2Clanguages%2Ctags%2Cqualifier&f=analysisDate%2CleakPeriodDate HTTP/1.1" 200 - "http://localhost:9000/projects?sort=name" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXpTnzkLkdT2jS9QAAAU"
0:0:0:0:0:0:0:1 - - [28/Jun/2021:19:16:32 +0200] "GET /api/measures/search?projectKeys=ANTLR%2CFOP%2Cjfreechart%2CPDM&metricKeys=alert_status%2Cbugs%2Creliability_rating%2Cvulnerabilities%2Csecurity_rating%2Csecurity_hotspots_reviewed%2Csecurity_review_rating%2Ccode_smells%2Csqale_rating%2Cduplicated_lines_density%2Ccoverage%2Cncloc%2Cncloc_language_distribution%2Cprojects HTTP/1.1" 200 - "http://localhost:9000/projects?sort=name" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXpTnzkLkdT2jS9QAAAV"
0:0:0:0:0:0:0:1 - - [28/Jun/2021:19:16:34 +0200] "GET /api/alm_settings/get_binding?project=FOP HTTP/1.1" 404 70 "http://localhost:9000/dashboard?id=FOP" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXpTnzkLkdT2jS9QAAAW"
0:0:0:0:0:0:0:1 - - [28/Jun/2021:19:16:34 +0200] "GET /api/components/show?component=FOP HTTP/1.1" 200 198 "http://localhost:9000/dashboard?id=FOP" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXpTnzkLkdT2jS9QAAAY"
0:0:0:0:0:0:0:1 - - [28/Jun/2021:19:16:34 +0200] "GET /api/navigation/component?component=FOP HTTP/1.1" 200 938 "http://localhost:9000/dashboard?id=FOP" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXpTnzkLkdT2jS9QAAAX"
0:0:0:0:0:0:0:1 - - [28/Jun/2021:19:16:34 +0200] "GET /api/project_pull_requests/list?project=FOP HTTP/1.1" 200 19 "http://localhost:9000/dashboard?id=FOP" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXpTnzkLkdT2jS9QAAAZ"
0:0:0:0:0:0:0:1 - - [28/Jun/2021:19:16:34 +0200] "GET /api/project_branches/list?project=FOP HTTP/1.1" 200 165 "http://localhost:9000/dashboard?id=FOP" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXpTnzkLkdT2jS9QAAAa"
0:0:0:0:0:0:0:1 - - [28/Jun/2021:19:16:34 +0200] "GET /api/ce/analysis_status?component=FOP HTTP/1.1" 200 441 "http://localhost:9000/dashboard?id=FOP" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXpTnzkLkdT2jS9QAAAc"
0:0:0:0:0:0:0:1 - - [28/Jun/2021:19:16:34 +0200] "GET /images/source-code.svg HTTP/1.1" 200 1441 "http://localhost:9000/dashboard?id=FOP" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXpTnzkLkdT2jS9QAAAd"
0:0:0:0:0:0:0:1 - - [28/Jun/2021:19:16:34 +0200] "GET /images/activity-chart.svg HTTP/1.1" 304 - "http://localhost:9000/dashboard?id=FOP" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXpTnzkLkdT2jS9QAAAe"
