0:0:0:0:0:0:0:1 - - [25/Aug/2021:08:50:30 +0200] "GET /api/l10n/index?locale=en-gb&ts=2021-08-25T06%3A50%3A30%2B0000 HTTP/1.1" 304 - "http://localhost:9000/sessions/new?return_to=%2F" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXt8Ewrleo8sYu+8AAAL"
0:0:0:0:0:0:0:1 - - [25/Aug/2021:08:50:30 +0200] "GET /api/users/identity_providers HTTP/1.1" 200 24 "http://localhost:9000/sessions/new?return_to=%2F" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXt8Ewrleo8sYu+8AAAM"
0:0:0:0:0:0:0:1 - - [25/Aug/2021:08:50:35 +0200] "POST /api/authentication/login HTTP/1.1" 200 - "http://localhost:9000/sessions/new?return_to=%2F" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXt8Ewrleo8sYu+8AAAN"
0:0:0:0:0:0:0:1 - - [25/Aug/2021:08:50:35 +0200] "GET / HTTP/1.1" 200 - "http://localhost:9000/sessions/new?return_to=%2F" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXt8Ewrleo8sYu+8AAAO"
0:0:0:0:0:0:0:1 - - [25/Aug/2021:08:50:35 +0200] "GET /api/l10n/index?locale=en-gb&ts=2021-08-25T06%3A50%3A30%2B0000 HTTP/1.1" 304 - "http://localhost:9000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXt8Ewrleo8sYu+8AAAP"
0:0:0:0:0:0:0:1 - - [25/Aug/2021:08:50:35 +0200] "GET /api/users/current HTTP/1.1" 200 354 "http://localhost:9000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXt8Ewrleo8sYu+8AAAR"
0:0:0:0:0:0:0:1 - - [25/Aug/2021:08:50:35 +0200] "GET /api/navigation/global HTTP/1.1" 200 572 "http://localhost:9000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXt8Ewrleo8sYu+8AAAQ"
0:0:0:0:0:0:0:1 - - [25/Aug/2021:08:50:35 +0200] "GET /api/languages/list HTTP/1.1" 200 479 "http://localhost:9000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXt8Ewrleo8sYu+8AAAS"
0:0:0:0:0:0:0:1 - - [25/Aug/2021:08:50:35 +0200] "GET /images/logo.svg?v=6.6 HTTP/1.1" 304 - "http://localhost:9000/projects" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXt8Ewrleo8sYu+8AAAT"
0:0:0:0:0:0:0:1 - - [25/Aug/2021:08:50:35 +0200] "GET /api/rules/app HTTP/1.1" 200 - "http://localhost:9000/projects" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXt8Ewrleo8sYu+8AAAV"
0:0:0:0:0:0:0:1 - - [25/Aug/2021:08:50:36 +0200] "GET /api/components/search_projects?filter=isFavorite&ps=1 HTTP/1.1" 200 77 "http://localhost:9000/projects" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXt8Ewrleo8sYu+8AAAU"
0:0:0:0:0:0:0:1 - - [25/Aug/2021:08:50:36 +0200] "GET /js/4.m.385069a1.chunk.js HTTP/1.1" 200 - "http://localhost:9000/projects" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXt8Ewrleo8sYu+8AAAW"
0:0:0:0:0:0:0:1 - - [25/Aug/2021:08:50:36 +0200] "GET /js/0.m.83ea9624.chunk.js HTTP/1.1" 200 - "http://localhost:9000/projects" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXt8Ewrleo8sYu+8AAAY"
0:0:0:0:0:0:0:1 - - [25/Aug/2021:08:50:36 +0200] "GET /js/5.m.31760eca.chunk.js HTTP/1.1" 200 - "http://localhost:9000/projects" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXt8Ewrleo8sYu+8AAAX"
0:0:0:0:0:0:0:1 - - [25/Aug/2021:08:50:36 +0200] "GET /js/268.m.2e9b0a35.chunk.js HTTP/1.1" 200 - "http://localhost:9000/projects" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXt8Ewrleo8sYu+8AAAZ"
0:0:0:0:0:0:0:1 - - [25/Aug/2021:08:50:36 +0200] "GET /api/alm_settings/list? HTTP/1.1" 200 18 "http://localhost:9000/projects" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXt8Ewrleo8sYu+8AAAa"
